field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr,,
050,12,18,2002,2022,1,0,0,,,
050,12,19,2002,2022,1,0,0,,,
050,12,20,2002,2022,1,2,18,,,
050,12,21,2002,2022,1,1,4,,,
050,12,22,2002,2022,1,1,5,,,
050,13,1,2002,2022,1,0,0,,,
050,13,2,2002,2022,1,2,19,,,
050,13,3,2002,2022,1,0,0,,,
050,13,4,2002,2022,1,0,0,,,
050,13,5,2002,2022,1,1,3,,,
050,13,6,2002,2022,1,1,3,,,
050,13,7,2002,2022,1,0,0,,,
050,13,8,2002,2022,1,1,4,,,
050,13,9,2002,2022,1,0,0,,,
050,13,11,2002,2022,1,0,0,,,
050,13,13,2002,2022,1,0,0,,,
050,13,14,2002,2022,1,0,0,,,
050,13,15,2002,2022,1,1,7,,,
050,13,16,2002,2022,1,1,14,,,
050,13,17,2002,2022,1,1,3,,,
050,13,18,2002,2022,1,1,4,,,
050,13,19,2002,2022,1,1,6,,,
050,13,20,2002,2022,1,1,4,,,
050,13,21,2002,2022,1,1,2,,,
050,13,22,2002,2022,1,1,2,,,
050,14,1,2002,2022,1,2,14,,,
050,14,2,2002,2022,1,1,8,,,
050,14,3,2002,2022,1,1,8,,,
050,14,6,2002,2022,1,1,4,,,
050,14,7,2002,2022,1,0,0,,,
050,14,8,2002,2022,1,0,0,,,
050,14,9,2002,2022,1,2,22,,,
050,14,10,2002,2022,1,1,2,,,
050,14,12,2002,2022,1,0,0,,,
050,14,13,2002,2022,1,0,0,,,
050,14,14,2002,2022,1,0,0,,,
050,14,15,2002,2022,1,1,5,,,
050,14,16,2002,2022,1,1,2,,,
050,14,17,2002,2022,1,1,8,,,
050,14,18,2002,2022,1,1,4,,,
050,14,19,2002,2022,1,1,3,,,
050,14,20,2002,2022,1,0,0,,,
050,14,21,2002,2022,1,1,11,,,
050,15,1,2002,2022,1,2,16,,,
050,15,3,2002,2022,1,2,16,,,
050,15,4,2002,2022,1,0,0,,,
050,15,5,2002,2022,1,2,34,,,
050,15,6,2002,2022,1,2,24,,,
050,15,7,2002,2022,1,1,5,,,
050,15,8,2002,2022,1,0,0,,,
050,15,9,2002,2022,1,1,3,,,
050,15,10,2002,2022,1,1,10,,,
050,15,11,2002,2022,1,0,0,,,
050,15,12,2002,2022,1,0,0,,,
050,15,13,2002,2022,1,2,26,,,
050,15,14,2002,2022,1,2,16,,,
050,15,15,2002,2022,1,0,0,,,
050,15,16,2002,2022,1,1,8,,,
050,15,17,2002,2022,1,1,11,,,
050,15,18,2002,2022,1,0,0,,,
050,15,20,2002,2022,1,0,0,,,
050,15,21,2002,2022,1,0,0,,,
050,16,1,2002,2022,1,0,0,,,
050,16,2,2002,2022,1,1,7,,,
050,16,3,2002,2022,1,1,9,,,
050,16,4,2002,2022,1,1,2,,,
050,16,5,2002,2022,1,2,18,,,
050,16,6,2002,2022,1,0,0,,,
050,16,8,2002,2022,1,1,4,,,
050,16,9,2002,2022,1,0,0,,,
050,16,10,2002,2022,1,0,0,,,
050,16,11,2002,2022,1,2,14,,,
050,16,12,2002,2022,1,2,15,,,
050,16,13,2002,2022,1,3,33,,,
050,16,14,2002,2022,1,1,7,,,
050,16,15,2002,2022,1,2,11,,,
050,16,16,2002,2022,1,1,2,,,
050,16,17,2002,2022,1,1,6,,,
050,16,18,2002,2022,1,1,6,,,
050,16,19,2002,2022,1,1,4,,,
050,16,20,2002,2022,1,0,0,,,
050,16,21,2002,2022,1,0,0,,,
050,16,22,2002,2022,1,1,3,,,
050,17,1,2002,2022,1,0,0,,,
050,17,2,2002,2022,1,2,18,,,
050,17,3,2002,2022,1,0,0,,,
050,17,4,2002,2022,1,1,8,,,
050,17,5,2002,2022,1,1,4,,,
050,17,6,2002,2022,1,0,0,,,
050,17,7,2002,2022,1,0,0,,,
050,17,8,2002,2022,1,1,2,,,
050,17,9,2002,2022,1,2,15,,,
050,17,11,2002,2022,1,0,0,,,
050,17,12,2002,2022,1,2,18,,,
050,17,13,2002,2022,1,2,14,,,
050,17,14,2002,2022,1,0,0,,,
050,17,15,2002,2022,1,0,0,,,
050,17,16,2002,2022,1,0,0,,,
050,17,17,2002,2022,1,1,1,,,
050,17,18,2002,2022,1,0,0,,,
050,17,19,2002,2022,1,0,0,,,
050,17,20,2002,2022,1,1,2,,,
050,17,21,2002,2022,1,2,11,,,
050,17,22,2002,2022,1,1,1,,,
050,18,2,2002,2022,1,1,5,,,
050,18,3,2002,2022,1,0,0,,,
050,18,4,2002,2022,1,1,2,,,
050,18,5,2002,2022,1,2,13,,,
050,18,6,2002,2022,1,0,0,,,
050,18,7,2002,2022,1,0,0,,,
050,18,8,2002,2022,1,1,7,,,
050,18,10,2002,2022,1,3,38,,,
050,18,11,2002,2022,1,0,0,,,
050,18,12,2002,2022,1,1,6,,,
050,18,13,2002,2022,1,2,11,,,
050,18,14,2002,2022,1,1,4,,,
050,18,15,2002,2022,1,1,8,,,
050,18,16,2002,2022,1,0,0,,,
050,18,17,2002,2022,1,0,0,,,
050,18,18,2002,2022,1,0,0,,,
050,18,19,2002,2022,1,0,0,,,
050,18,20,2002,2022,1,1,3,,,
050,18,22,2002,2022,1,2,10,,,
050,19,1,2002,2022,1,2,14,,,
050,19,2,2002,2022,1,1,3,,,
050,19,3,2002,2022,1,1,7,,,
050,19,5,2002,2022,1,0,0,,,
050,19,6,2002,2022,1,1,7,,,
050,19,7,2002,2022,1,2,13,,,
050,19,10,2002,2022,1,0,0,,,
050,19,11,2002,2022,1,0,0,,,
050,19,12,2002,2022,1,1,1,,,
050,19,13,2002,2022,1,1,2,,,
050,19,15,2002,2022,1,2,20,,,
050,19,16,2002,2022,1,2,18,,,
050,19,17,2002,2022,1,0,0,,,
050,19,18,2002,2022,1,2,13,,,
050,19,19,2002,2022,1,1,1,,,
050,19,20,2002,2022,1,2,17,,,
050,19,21,2002,2022,1,0,0,,,
050,19,22,2002,2022,1,1,8,,,
050,20,1,2002,2022,1,0,0,,,
050,20,3,2002,2022,1,2,40,,,
050,20,4,2002,2022,1,2,21,,,
050,20,5,2002,2022,1,2,20,,,
050,20,6,2002,2022,1,1,6,,,
050,20,7,2002,2022,1,1,9,,,
050,20,8,2002,2022,1,1,10,,,
050,20,9,2002,2022,1,2,17,,,
050,20,10,2002,2022,1,1,4,,,
050,20,11,2002,2022,1,0,0,,,
050,20,12,2002,2022,1,1,2,,,
050,20,13,2002,2022,1,1,10,,,
050,20,14,2002,2022,1,0,0,,,
050,20,15,2002,2022,1,1,5,,,
050,20,16,2002,2022,1,0,0,,,
050,20,17,2002,2022,1,2,21,,,
050,20,18,2002,2022,1,0,0,,,
050,20,19,2002,2022,1,0,0,,,
050,20,20,2002,2022,1,0,0,,,
050,20,21,2002,2022,1,0,0,,,
050,21,1,2002,2022,1,2,20,,,
050,21,3,2002,2022,1,0,0,,,
050,21,4,2002,2022,1,2,10,,,
050,21,5,2002,2022,1,2,24,,,
050,21,6,2002,2022,1,3,48,,,
050,21,7,2002,2022,1,1,6,,,
050,21,8,2002,2022,1,1,12,,,
050,21,9,2002,2022,1,0,0,,,
050,21,10,2002,2022,1,0,0,,,
050,21,11,2002,2022,1,2,14,,,
050,21,12,2002,2022,1,2,17,,,
050,21,13,2002,2022,1,0,0,,,
050,21,14,2002,2022,1,1,4,,,
050,21,15,2002,2022,1,1,4,,,
050,21,19,2002,2022,1,0,0,,,
050,21,20,2002,2022,1,1,10,,,
050,21,22,2002,2022,1,0,0,,,
050,22,1,2002,2022,1,0,0,,,
050,22,2,2002,2022,1,2,13,,,
050,22,3,2002,2022,1,0,0,,,
050,22,4,2002,2022,1,0,0,,,
050,22,5,2002,2022,1,0,0,,,
050,22,6,2002,2022,1,1,1,,,
050,22,7,2002,2022,1,1,9,,,
050,22,8,2002,2022,1,0,0,,,
050,22,9,2002,2022,1,0,0,,,
050,22,10,2002,2022,1,2,13,,,
050,22,11,2002,2022,1,1,6,,,
050,22,12,2002,2022,1,2,16,,,
050,22,13,2002,2022,1,1,4,,,
050,22,14,2002,2022,1,2,18,,,
050,22,15,2002,2022,1,1,10,,,
050,22,16,2002,2022,1,2,12,,,
050,22,17,2002,2022,1,2,13,,,
050,22,18,2002,2022,1,0,0,,,
050,22,19,2002,2022,1,2,12,,,
050,22,20,2002,2022,1,1,12,,,
050,22,21,2002,2022,1,0,0,,,
050,23,2,2002,2022,1,2,14,,,
050,23,3,2002,2022,1,0,0,,,
050,23,4,2002,2022,1,0,0,,,
050,23,5,2002,2022,1,1,7,,,
050,23,6,2002,2022,1,1,8,,,
050,23,7,2002,2022,1,1,1,,,
050,23,9,2002,2022,1,0,0,,,
050,23,10,2002,2022,1,1,2,,,
050,23,12,2002,2022,1,0,0,,,
050,23,13,2002,2022,1,2,17,,,
050,23,14,2002,2022,1,0,0,,,
050,23,15,2002,2022,1,1,10,,,
050,23,16,2002,2022,1,2,18,,,
050,23,18,2002,2022,1,0,0,,,
050,23,19,2002,2022,1,0,0,,,
050,23,21,2002,2022,1,0,0,,,
050,24,1,2002,2022,1,2,10,,,
050,24,3,2002,2022,1,1,4,,,
050,24,4,2002,2022,1,1,7,,,
050,24,6,2002,2022,1,2,10,,,
050,24,7,2002,2022,1,1,4,,,
050,24,9,2002,2022,1,0,0,,,
050,24,10,2002,2022,1,0,0,,,
050,24,11,2002,2022,1,0,0,,,
050,24,12,2002,2022,1,0,0,,,
050,24,13,2002,2022,1,1,3,,,
050,24,14,2002,2022,1,1,3,,,
050,24,15,2002,2022,1,1,2,,,
050,24,16,2002,2022,1,0,0,,,
050,24,17,2002,2022,1,4,72,,,
050,24,18,2002,2022,1,0,0,,,
050,24,19,2002,2022,1,2,16,,,
050,24,20,2002,2022,1,3,34,,,
050,24,21,2002,2022,1,2,11,,,
050,24,22,2002,2022,1,2,18,,,
050,25,1,2002,2022,1,0,0,,,
050,25,2,2002,2022,1,1,7,,,
050,25,3,2002,2022,1,0,0,,,
050,25,4,2002,2022,1,0,0,,,
050,25,5,2002,2022,1,0,0,,,
050,25,6,2002,2022,1,1,4,,,
050,25,8,2002,2022,1,2,13,,,
050,25,9,2002,2022,1,1,4,,,
050,25,10,2002,2022,1,1,6,,,
050,25,11,2002,2022,1,1,7,,,
050,25,12,2002,2022,1,0,0,,,
050,25,13,2002,2022,1,0,0,,,
050,25,14,2002,2022,1,0,0,,,
050,25,15,2002,2022,1,0,0,,,
050,25,16,2002,2022,1,0,0,,,
050,25,17,2002,2022,1,1,6,,,
050,25,20,2002,2022,1,1,5,,,
050,25,21,2002,2022,1,4,75,,,
050,25,22,2002,2022,1,3,35,,,
050,26,1,2002,2022,1,0,0,,,
050,26,2,2002,2022,1,0,0,,,
050,26,3,2002,2022,1,0,0,,,
050,26,4,2002,2022,1,0,0,,,
050,26,5,2002,2022,1,1,5,,,
050,26,6,2002,2022,1,1,6,,,
050,26,7,2002,2022,1,2,16,,,
050,26,8,2002,2022,1,2,23,,,
050,26,9,2002,2022,1,1,9,,,
050,26,10,2002,2022,1,2,10,,,
050,26,11,2002,2022,1,0,0,,,
050,26,12,2002,2022,1,1,7,,,
050,26,14,2002,2022,1,1,8,,,
050,26,15,2002,2022,1,1,1,,,
050,26,16,2002,2022,1,2,18,,,
