field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr
083,35,1,1997,2022,2,0,0,
083,35,2,1997,2022,2,1,2,
083,35,3,1997,2022,2,2,11,
083,35,4,1997,2022,2,2,14,
083,35,5,1997,2022,2,1,5,
083,35,6,1997,2022,2,1,1,
083,35,7,1997,2022,2,1,2,
083,35,8,1997,2022,2,1,8,
083,35,9,1997,2022,2,2,16,
083,35,10,1997,2022,2,1,6,
083,35,11,1997,2022,2,0,0,
083,35,12,1997,2022,2,0,0,
083,35,13,1997,2022,2,0,0,
083,35,14,1997,2022,2,1,5,
083,35,15,1997,2022,2,1,8,
083,35,17,1997,2022,2,0,0,
083,35,18,1997,2022,2,1,2,
083,35,19,1997,2022,2,0,0,
083,35,20,1997,2022,2,2,11,
083,36,1,1997,2022,2,2,17,
083,36,2,1997,2022,2,0,0,
083,36,3,1997,2022,2,0,0,
083,36,4,1997,2022,2,0,0,
083,36,5,1997,2022,2,2,13,
083,36,6,1997,2022,2,0,0,
083,36,7,1997,2022,2,1,7,
083,36,8,1997,2022,2,0,0,
083,36,9,1997,2022,2,0,0,
083,36,10,1997,2022,2,0,0,
083,36,11,1997,2022,2,1,4,
083,36,12,1997,2022,2,2,12,
083,36,13,1997,2022,2,0,0,
083,36,14,1997,2022,2,2,13,
083,36,15,1997,2022,2,0,0,
083,36,16,1997,2022,2,2,15,
083,36,17,1997,2022,2,2,10,
083,36,18,1997,2022,2,1,5,
083,36,19,1997,2022,2,0,0,
083,37,1,1997,2022,2,0,0,
083,37,2,1997,2022,2,2,10,
083,37,4,1997,2022,2,0,0,
083,37,5,1997,2022,2,3,38,
083,37,6,1997,2022,2,0,0,
083,37,7,1997,2022,2,2,20,
083,37,8,1997,2022,2,2,10,
083,37,9,1997,2022,2,2,16,
083,37,10,1997,2022,2,0,0,
083,37,11,1997,2022,2,0,0,
083,37,12,1997,2022,2,0,0,
083,37,13,1997,2022,2,0,0,
083,37,15,1997,2022,2,2,11,
083,37,16,1997,2022,2,2,12,
083,37,17,1997,2022,2,1,5,
083,37,18,1997,2022,2,0,0,
083,37,19,1997,2022,2,0,0,
083,37,20,1997,2022,2,0,0,
083,38,1,1997,2022,2,2,16,
083,38,2,1997,2022,2,2,25,
083,38,3,1997,2022,2,1,8,
083,38,4,1997,2022,2,1,8,
083,38,5,1997,2022,2,1,5,
083,38,6,1997,2022,2,2,21,
083,38,7,1997,2022,2,1,8,
083,38,8,1997,2022,2,2,12,
083,38,9,1997,2022,2,1,4,
083,38,10,1997,2022,2,1,4,
083,38,11,1997,2022,2,3,30,
083,38,12,1997,2022,2,1,8,
083,38,13,1997,2022,2,1,6,
083,38,14,1997,2022,2,2,18,
083,38,15,1997,2022,2,2,12,
083,38,16,1997,2022,2,1,3,
083,38,17,1997,2022,2,0,0,
083,38,18,1997,2022,2,0,0,
083,38,19,1997,2022,2,1,3,
083,38,20,1997,2022,2,1,1,
083,39,1,1997,2022,2,1,7,
083,39,2,1997,2022,2,2,15,
083,39,3,1997,2022,2,2,12,
083,39,4,1997,2022,2,0,0,
083,39,5,1997,2022,2,2,24,
083,39,6,1997,2022,2,1,11,
083,39,7,1997,2022,2,2,16,
083,39,8,1997,2022,2,2,30,
083,39,9,1997,2022,2,2,14,
083,39,10,1997,2022,2,1,8,
083,39,11,1997,2022,2,2,20,
083,39,12,1997,2022,2,2,32,
083,39,13,1997,2022,2,1,12,
083,39,14,1997,2022,2,1,8,
083,39,15,1997,2022,2,0,0,
083,39,16,1997,2022,2,2,22,
083,39,17,1997,2022,2,0,0,
083,39,18,1997,2022,2,0,0,
083,39,19,1997,2022,2,1,10,
083,39,20,1997,2022,2,1,10,
083,40,1,1997,2022,2,1,12,
083,40,2,1997,2022,2,1,3,
083,40,3,1997,2022,2,1,10,
083,40,4,1997,2022,2,1,8,
083,40,5,1997,2022,2,2,11,
083,40,6,1997,2022,2,2,13,
083,40,7,1997,2022,2,1,8,
083,40,8,1997,2022,2,0,0,
083,40,9,1997,2022,2,1,2,
083,40,10,1997,2022,2,0,0,
083,40,12,1997,2022,2,1,10,
083,40,13,1997,2022,2,0,0,
083,40,14,1997,2022,2,1,2,
083,40,15,1997,2022,2,0,0,
083,40,16,1997,2022,2,1,3,
083,40,17,1997,2022,2,1,11,
083,40,18,1997,2022,2,1,12,
083,40,19,1997,2022,2,1,2,
083,40,20,1997,2022,2,1,8,
083,41,1,1997,2022,2,1,1,
083,41,2,1997,2022,2,3,35,
083,41,3,1997,2022,2,2,16,
083,41,4,1997,2022,2,1,10,
083,41,5,1997,2022,2,1,11,
083,41,6,1997,2022,2,0,0,
083,41,7,1997,2022,2,0,0,
083,41,8,1997,2022,2,2,14,
083,41,9,1997,2022,2,1,7,
083,41,10,1997,2022,2,1,8,
083,41,11,1997,2022,2,0,0,
083,41,12,1997,2022,2,0,0,
083,41,13,1997,2022,2,1,1,
083,41,14,1997,2022,2,2,15,
083,41,15,1997,2022,2,1,7,
083,41,16,1997,2022,2,1,3,
083,41,17,1997,2022,2,0,0,
083,41,18,1997,2022,2,1,4,
083,41,19,1997,2022,2,1,13,
083,42,1,1997,2022,2,1,4,
083,42,2,1997,2022,2,0,0,
083,42,3,1997,2022,2,1,7,
083,42,4,1997,2022,2,1,7,
083,42,5,1997,2022,2,1,2,
