field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr
095,7,7,2005,2022,1,2,13,
095,7,8,2005,2022,1,1,8,
095,7,9,2005,2022,1,2,12,
095,7,10,2005,2022,1,2,26,
095,7,11,2005,2022,1,1,2,
095,7,12,2005,2022,1,0,0,
095,7,13,2005,2022,1,0,0,
095,7,14,2005,2022,1,0,0,
095,7,15,2005,2022,1,1,1,
095,7,16,2005,2022,1,0,0,
095,7,17,2005,2022,1,2,15,
095,7,18,2005,2022,1,0,0,
095,7,19,2005,2022,1,1,3,
095,7,20,2005,2022,1,0,0,
095,7,21,2005,2022,1,2,19,
095,7,22,2005,2022,1,3,30,
095,7,23,2005,2022,1,0,0,
095,7,24,2005,2022,1,0,0,
095,7,25,2005,2022,1,0,0,
095,7,26,2005,2022,1,1,2,
095,8,1,2005,2022,1,1,8,
095,8,2,2005,2022,1,2,16,
095,8,3,2005,2022,1,2,10,
095,8,4,2005,2022,1,1,5,
095,8,5,2005,2022,1,3,39,
095,8,6,2005,2022,1,3,37,
095,8,7,2005,2022,1,3,35,
095,8,8,2005,2022,1,1,5,
095,8,9,2005,2022,1,2,26,
095,8,10,2005,2022,1,0,0,
095,8,11,2005,2022,1,2,23,
095,8,12,2005,2022,1,0,0,
095,8,13,2005,2022,1,0,0,
095,8,14,2005,2022,1,0,0,
095,8,15,2005,2022,1,2,18,
095,8,16,2005,2022,1,0,0,
095,8,17,2005,2022,1,1,6,
095,8,18,2005,2022,1,2,18,
095,8,19,2005,2022,1,0,0,
095,8,20,2005,2022,1,0,0,
095,8,21,2005,2022,1,2,22,
095,8,22,2005,2022,1,0,0,
095,8,23,2005,2022,1,3,37,
095,8,24,2005,2022,1,1,1,
095,8,25,2005,2022,1,0,0,
095,8,26,2005,2022,1,0,0,
095,9,1,2005,2022,1,0,0,
095,9,2,2005,2022,1,2,31,
095,9,3,2005,2022,1,0,0,
095,9,5,2005,2022,1,0,0,
095,9,6,2005,2022,1,2,16,
095,9,8,2005,2022,1,2,22,
095,9,9,2005,2022,1,2,25,
095,9,10,2005,2022,1,2,23,
095,9,11,2005,2022,1,3,34,
095,9,12,2005,2022,1,1,7,
095,9,13,2005,2022,1,0,0,
095,9,14,2005,2022,1,2,20,
095,9,15,2005,2022,1,2,30,
095,9,16,2005,2022,1,3,42,
095,9,18,2005,2022,1,1,5,
095,9,19,2005,2022,1,3,32,
095,9,20,2005,2022,1,3,32,
095,9,21,2005,2022,1,0,0,
095,9,22,2005,2022,1,2,20,
095,9,23,2005,2022,1,0,0,
095,9,24,2005,2022,1,1,6,
095,10,1,2005,2022,1,3,38,
095,10,2,2005,2022,1,2,20,
095,10,3,2005,2022,1,1,3,
095,10,4,2005,2022,1,1,4,
095,10,5,2005,2022,1,2,20,
095,10,6,2005,2022,1,3,58,
095,10,7,2005,2022,1,3,52,
095,10,8,2005,2022,1,1,8,
095,10,10,2005,2022,1,1,9,
095,10,11,2005,2022,1,2,24,
095,10,12,2005,2022,1,3,33,
095,10,13,2005,2022,1,2,18,
095,10,14,2005,2022,1,3,31,
095,10,15,2005,2022,1,3,37,
095,10,16,2005,2022,1,1,7,
095,10,17,2005,2022,1,2,20,
095,10,18,2005,2022,1,3,54,
095,10,19,2005,2022,1,1,10,
095,10,20,2005,2022,1,2,20,
095,10,21,2005,2022,1,0,0,
095,10,22,2005,2022,1,0,0,
095,10,23,2005,2022,1,0,0,
095,10,24,2005,2022,1,0,0,
095,11,1,2005,2022,1,0,0,
095,11,2,2005,2022,1,0,0,
095,11,3,2005,2022,1,1,8,
095,11,4,2005,2022,1,2,10,
095,11,5,2005,2022,1,2,12,
095,11,6,2005,2022,1,1,17,
095,11,7,2005,2022,1,2,20,
095,11,8,2005,2022,1,0,0,
095,11,9,2005,2022,1,0,0,
095,11,10,2005,2022,1,2,16,
095,11,11,2005,2022,1,2,25,
095,11,12,2005,2022,1,0,0,
095,11,13,2005,2022,1,2,18,
095,11,14,2005,2022,1,1,11,
095,11,15,2005,2022,1,0,0,
095,11,16,2005,2022,1,1,13,
095,11,17,2005,2022,1,0,0,
095,11,18,2005,2022,1,3,38,
095,11,19,2005,2022,1,0,0,
095,11,20,2005,2022,1,2,14,
095,11,21,2005,2022,1,1,4,
095,11,22,2005,2022,1,1,7,
095,11,23,2005,2022,1,1,14,
095,11,24,2005,2022,1,0,0,
095,11,26,2005,2022,1,1,13,
095,12,1,2005,2022,1,2,16,
095,12,2,2005,2022,1,1,10,
095,12,3,2005,2022,1,1,4,
095,12,4,2005,2022,1,2,27,
095,12,5,2005,2022,1,0,0,
095,12,6,2005,2022,1,0,0,
095,12,7,2005,2022,1,1,11,
095,12,8,2005,2022,1,1,7,
095,12,9,2005,2022,1,1,13,
095,12,10,2005,2022,1,3,45,
095,12,12,2005,2022,1,0,0,
095,12,13,2005,2022,1,1,10,
095,12,14,2005,2022,1,3,31,
095,12,15,2005,2022,1,2,28,
095,12,16,2005,2022,1,2,20,
095,12,17,2005,2022,1,2,23,
095,12,18,2005,2022,1,0,0,
095,12,19,2005,2022,1,1,5,
095,12,20,2005,2022,1,0,0,
095,12,21,2005,2022,1,1,12,
095,12,22,2005,2022,1,2,17,
095,12,24,2005,2022,1,0,0,
095,13,1,2005,2022,1,1,14,
095,13,2,2005,2022,1,1,10,
095,13,4,2005,2022,1,0,0,
095,13,5,2005,2022,1,0,0,
095,13,6,2005,2022,1,1,7,
095,13,7,2005,2022,1,1,8,
095,13,8,2005,2022,1,2,20,
095,13,9,2005,2022,1,3,40,
095,13,10,2005,2022,1,1,10,
095,13,11,2005,2022,1,2,26,
095,13,12,2005,2022,1,1,10,
095,13,13,2005,2022,1,3,42,
095,13,14,2005,2022,1,3,43,
095,13,15,2005,2022,1,2,22,
095,13,16,2005,2022,1,3,46,
095,13,17,2005,2022,1,1,10,
095,13,18,2005,2022,1,2,20,
095,13,19,2005,2022,1,2,22,
095,13,20,2005,2022,1,0,0,
095,13,21,2005,2022,1,0,0,
095,13,22,2005,2022,1,0,0,
095,13,23,2005,2022,1,1,15,
095,13,24,2005,2022,1,2,25,
095,13,25,2005,2022,1,0,0,
095,13,26,2005,2022,1,0,0,
095,14,1,2005,2022,1,1,2,
095,14,2,2005,2022,1,1,7,
095,14,3,2005,2022,1,1,4,
095,14,4,2005,2022,1,0,0,
095,14,5,2005,2022,1,1,7,
095,14,6,2005,2022,1,0,0,
095,14,7,2005,2022,1,0,0,
095,14,8,2005,2022,1,1,15,
095,14,9,2005,2022,1,0,0,
095,14,10,2005,2022,1,1,5,
095,14,11,2005,2022,1,2,15,
095,14,12,2005,2022,1,3,40,
095,14,13,2005,2022,1,2,18,
095,14,14,2005,2022,1,2,17,
095,14,15,2005,2022,1,1,13,
095,14,17,2005,2022,1,0,0,
095,14,18,2005,2022,1,2,21,
095,14,19,2005,2022,1,0,0,
095,14,20,2005,2022,1,0,0,
095,14,21,2005,2022,1,0,0,
095,14,22,2005,2022,1,0,0,
095,14,23,2005,2022,1,0,0,
095,14,25,2005,2022,1,0,0,
095,14,26,2005,2022,1,0,0,
095,15,1,2005,2022,1,1,7,
095,15,2,2005,2022,1,1,8,
095,15,3,2005,2022,1,2,22,
095,15,4,2005,2022,1,1,17,
095,15,5,2005,2022,1,2,23,
095,15,6,2005,2022,1,0,0,
095,15,7,2005,2022,1,1,3,
095,15,8,2005,2022,1,1,13,
095,15,9,2005,2022,1,2,26,
095,15,10,2005,2022,1,2,17,
095,15,11,2005,2022,1,1,12,
095,15,12,2005,2022,1,1,13,
095,15,13,2005,2022,1,2,24,
095,15,14,2005,2022,1,1,8,
095,15,15,2005,2022,1,2,40,
095,15,16,2005,2022,1,2,16,
095,15,17,2005,2022,1,2,24,
095,15,18,2005,2022,1,2,23,
095,15,19,2005,2022,1,2,20,
095,15,20,2005,2022,1,1,2,
095,15,21,2005,2022,1,0,0,
095,15,22,2005,2022,1,0,0,
095,15,23,2005,2022,1,0,0,
095,15,24,2005,2022,1,0,0,
095,15,25,2005,2022,1,2,30,
095,15,26,2005,2022,1,1,13,
095,16,1,2005,2022,1,0,0,
095,16,2,2005,2022,1,1,15,
095,16,3,2005,2022,1,1,15,
095,16,4,2005,2022,1,0,0,
095,16,5,2005,2022,1,1,13,
095,16,6,2005,2022,1,1,6,
095,16,7,2005,2022,1,2,23,
095,16,8,2005,2022,1,2,22,
