Plot,Yplant,Subplot,Line,Tree
83,1997,6,58,9
83,1997,6,58,8
83,1997,6,58,10
83,1997,6,57,8
83,1997,6,57,9
83,1997,6,57,10
83,1997,6,59,8
83,1997,6,59,9
83,1997,6,59,10
95,2005,1,13,11
95,2005,1,13,10
95,2005,1,13,12
95,2005,1,12,10
95,2005,1,12,11
95,2005,1,12,12
95,2005,1,14,10
95,2005,1,14,11
95,2005,1,14,12
95,2005,2,12,9
95,2005,2,12,8
95,2005,2,12,10
95,2005,2,11,8
95,2005,2,11,9
95,2005,2,11,10
95,2005,2,13,8
95,2005,2,13,9
95,2005,2,13,10
95,2005,3,8,7
95,2005,3,8,6
95,2005,3,8,8
95,2005,3,7,6
95,2005,3,7,7
95,2005,3,7,8
95,2005,3,9,6
95,2005,3,9,7
95,2005,3,9,8
95,2005,4,5,5
95,2005,4,5,4
95,2005,4,5,6
95,2005,4,4,4
95,2005,4,4,5
95,2005,4,4,6
95,2005,4,6,4
95,2005,4,6,5
95,2005,4,6,6
95,2005,5,17,17
95,2005,5,17,16
95,2005,5,17,18
95,2005,5,16,16
95,2005,5,16,17
95,2005,5,16,18
95,2005,5,18,16
95,2005,5,18,17
95,2005,5,18,18
95,2005,6,27,22
95,2005,6,27,21
95,2005,6,27,23
95,2005,6,26,21
95,2005,6,26,22
95,2005,6,26,23
95,2005,6,28,21
95,2005,6,28,22
95,2005,6,28,23
