field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr
034,1,1,1998,2022,3,0,0,
034,1,2,1998,2022,3,0,0,
034,1,3,1998,2022,3,0,0,
034,1,5,1998,2022,3,0,0,
034,1,6,1998,2022,3,0,0,
034,1,7,1998,2022,3,1,3,
034,1,8,1998,2022,3,1,6,
034,1,10,1998,2022,3,0,0,
034,1,11,1998,2022,3,0,0,
034,1,13,1998,2022,3,1,10,
034,1,14,1998,2022,3,0,0,
034,1,15,1998,2022,3,1,1,
034,1,16,1998,2022,3,1,10,
034,1,17,1998,2022,3,1,5,
034,1,18,1998,2022,3,1,5,
034,1,19,1998,2022,3,0,0,
034,1,20,1998,2022,3,0,0,
034,1,21,1998,2022,3,1,5,
034,1,22,1998,2022,3,0,0,
034,1,23,1998,2022,3,0,0,
034,1,24,1998,2022,3,1,10,
034,1,25,1998,2022,3,1,10,
034,1,26,1998,2022,3,0,0,
034,2,1,1998,2022,3,0,0,
034,2,2,1998,2022,3,1,2,
034,2,3,1998,2022,3,0,0,
034,2,4,1998,2022,3,1,7,
034,2,6,1998,2022,3,1,10,
034,2,7,1998,2022,3,0,0,
034,2,9,1998,2022,3,0,0,
034,2,11,1998,2022,3,0,0,
034,2,12,1998,2022,3,2,16,
034,2,13,1998,2022,3,2,15,
034,2,14,1998,2022,3,2,15,
034,2,15,1998,2022,3,1,6,
034,2,16,1998,2022,3,0,0,
034,2,17,1998,2022,3,0,0,
034,2,18,1998,2022,3,0,0,
034,2,19,1998,2022,3,0,0,
034,2,20,1998,2022,3,0,0,
034,2,21,1998,2022,3,0,0,
034,2,22,1998,2022,3,0,0,
034,2,24,1998,2022,3,1,1,
034,2,25,1998,2022,3,1,2,
034,2,26,1998,2022,3,0,0,
034,3,1,1998,2022,3,1,3,
034,3,2,1998,2022,3,1,8,
034,3,3,1998,2022,3,0,0,
034,3,4,1998,2022,3,1,2,
034,3,5,1998,2022,3,1,2,
034,3,6,1998,2022,3,0,0,
034,3,7,1998,2022,3,0,0,
034,3,8,1998,2022,3,0,0,
034,3,9,1998,2022,3,1,8,
034,3,10,1998,2022,3,1,4,
034,3,11,1998,2022,3,1,3,
034,3,12,1998,2022,3,3,22,
034,3,13,1998,2022,3,1,2,
034,3,14,1998,2022,3,1,10,
034,3,15,1998,2022,3,1,1,
034,3,16,1998,2022,3,0,0,
034,3,17,1998,2022,3,1,2,
034,3,18,1998,2022,3,0,0,
034,3,19,1998,2022,3,1,10,
034,3,20,1998,2022,3,0,0,
034,3,21,1998,2022,3,0,0,
034,3,22,1998,2022,3,1,5,
034,3,23,1998,2022,3,1,4,
034,3,24,1998,2022,3,0,0,
034,3,25,1998,2022,3,2,14,
034,3,26,1998,2022,3,0,0,
034,4,1,1998,2022,3,0,0,
034,4,2,1998,2022,3,0,0,
034,4,3,1998,2022,3,1,4,
034,4,4,1998,2022,3,1,3,
034,4,5,1998,2022,3,1,4,
034,4,6,1998,2022,3,0,0,
034,4,7,1998,2022,3,0,0,
034,4,9,1998,2022,3,1,2,
034,4,10,1998,2022,3,2,11,
034,4,11,1998,2022,3,0,0,
034,4,13,1998,2022,3,2,20,
034,4,15,1998,2022,3,1,7,
034,4,16,1998,2022,3,0,0,
034,4,17,1998,2022,3,0,0,
034,4,18,1998,2022,3,0,0,
034,4,19,1998,2022,3,0,0,
034,4,20,1998,2022,3,0,0,
034,4,21,1998,2022,3,1,5,
034,4,22,1998,2022,3,0,0,
034,4,23,1998,2022,3,0,0,
034,4,24,1998,2022,3,1,1,
034,4,25,1998,2022,3,0,0,
034,4,26,1998,2022,3,1,10,
034,5,1,1998,2022,3,1,4,
034,5,2,1998,2022,3,0,0,
034,5,3,1998,2022,3,1,4,
034,5,4,1998,2022,3,1,7,
034,5,5,1998,2022,3,1,2,
034,5,6,1998,2022,3,0,0,
034,5,7,1998,2022,3,0,0,
034,5,8,1998,2022,3,0,0,
